smile,canonical_ikey,name,source,source_id,status,reframedb_url
CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,XCVUOCMQYKSJJR,RPI 312,Chempartner,V2477544,plated and available for follow-up,https://reframedb.org//compound_data/XCVUOCMQYKSJJR;qid=Q27149152
c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,YIQPUIGJQJDJOS,Plerixafor; Mozobil,Sigma-Aldrich,A5602,plated and available for follow-up,https://reframedb.org//compound_data/YIQPUIGJQJDJOS;qid=Q905835
COCCCN1CC[C@@H](CNC(=O)c2cc(Cl)c(N)c3c2OC(C)(C)C3)[C@H](O)C1,FOUUNSGQVBGYQM,revexepride; M-0003,WuXi,CBR-HVAC-05132,plated and available for follow-up,https://reframedb.org//compound_data/FOUUNSGQVBGYQM;qid=Q27270174
O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12,YGKPIROTKVQCCU,SB 203186,Sigma-Aldrich,S0443,plated and available for follow-up,https://reframedb.org//compound_data/YGKPIROTKVQCCU;qid=Q27088698
CC(C)n1c(=O)n(C(=O)NCC2CCN(CC3(O)CCOCC3)CC2)c2ccccc21,OMZWFGGPQLRSMV,RQ-00000009,Pharmaron,PH-CBR-2016-003-HVAC-12384-0,plated and available for follow-up,https://reframedb.org//compound_data/OMZWFGGPQLRSMV;qid=Q27282575
CCC(CC)C(c1ccc(Nc2nc3ccccc3s2)cc1)n1cncn1,SNFYYXUGUBUECJ,talarozole; Rambazole,MedChem Express,HY-14531,plated and available for follow-up,https://reframedb.org//compound_data/SNFYYXUGUBUECJ;qid=Q27178803
NC(=O)c1ncn2c1CN=C(c1ccccc1Cl)c1ccccc1-2,BKRBQMJIWKNKJO,Ro 22-6261,Pharmaron,PH-CBR-2016-001-HVAC-08286-0,plated and available for follow-up,https://reframedb.org//compound_data/BKRBQMJIWKNKJO;qid=Q83016300
CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1,WMDSZGFJQKSLLH,Landiolol; Corebeta,"Boerchem Pharmtech Co., Ltd",BC678003,plated and available for follow-up,https://reframedb.org//compound_data/WMDSZGFJQKSLLH;qid=Q6484656
Cc1cc(Cl)c(OCCOc2ccc(C3=C(C(=O)N(Cc4cccc(C)c4C)C4CC4)C4CNCC(C3)N4)cc2)c(Cl)c1,VKBBVOVNGWGZCA,MK-8141; ACT-077825,Chempartner,SP-16119-024,plated and available for follow-up,https://reframedb.org//compound_data/VKBBVOVNGWGZCA;qid=Q27276673
CC(C)CN(CCCC(O)(c1ccccc1)c1ccccc1)CC(C)C,DHGZOWKWYQWFHN,AFD 21,WuXi,CBR-HVAC-13446,plated and available for follow-up,https://reframedb.org//compound_data/DHGZOWKWYQWFHN;qid=nan
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IYRMWMYZSQPJKC,Kaempferol,MedChem Express,HY-14590,plated and available for follow-up,https://reframedb.org//compound_data/IYRMWMYZSQPJKC;qid=Q393336
CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(=O)[nH]c1C,WHFRDXVXYMGAJD,L 697661; L-697661,Chempartner,SP-16093-016,plated and available for follow-up,https://reframedb.org//compound_data/WHFRDXVXYMGAJD;qid=Q83027793
O=C(O)Cn1c2ccccc2c(=O)c2ccccc21,UOMKBIIXHQIERR,Camedon; Virexxa,Enamine,EN300-26357,plated and available for follow-up,https://reframedb.org//compound_data/UOMKBIIXHQIERR;qid=Q27293702
OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O,PMMURAAUARKVCB,2-DG; 2-Deoxy-D-glucose,MedChem Express,HY-13966,plated and available for follow-up,https://reframedb.org//compound_data/PMMURAAUARKVCB;qid=Q82003643
COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2-c2nccs2)nc1OC,VSOUDUXMPUHJEU,"MK-3697; N-[(5,6-Dimethoxy-2-pyridinyl)methyl]-5'-methyl-5-(2-thiazolyl)-[2,3'-bipyridine]-4-carboxamide","CEG Chemical Science & Technology Co., Ltd.",QC-11637,plated and available for follow-up,https://reframedb.org//compound_data/VSOUDUXMPUHJEU;qid=Q72492523
CCc1ccc(C(=O)C(C)CN2CCCC2)cc1,VNFAARJCGSAROU,Inapen; inaperisone hydrochloride,Jubilant Chemsys,P866-J02978-165,plated and available for follow-up,https://reframedb.org//compound_data/VNFAARJCGSAROU;qid=Q15519876
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H]1CCCN1C(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CO)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](N)CC(=O)O)C(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(N)=O)[C@H](C)O)[C@H](C)O,BAAXVYBAMNDCIB,Sonsuvi; brimapitide,Sigma-Aldrich,3581774704,plated and available for follow-up,https://reframedb.org//compound_data/BAAXVYBAMNDCIB;qid=Q27254842
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(ccc(N)c4O)C[C@H]3C[C@@H]12,LRJNBPUJLBQLEI,Amicycline,WuXi,CBR-HVAC-08751,plated and available for follow-up,https://reframedb.org//compound_data/LRJNBPUJLBQLEI;qid=Q27270890
CCCOC(=O)C(C)(C)NP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)NC(=O)c1ccc(Cl)cc1,RNUHVTRITJMGPO,,Chempartner,V2550828,plated and available for follow-up,https://reframedb.org//compound_data/RNUHVTRITJMGPO;qid=nan
CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,ZDWVWKDAWBGPDN,Propidium iodide; Propidium Iodide,Target Molecule Corp.,T2130,plated and available for follow-up,https://reframedb.org//compound_data/ZDWVWKDAWBGPDN;qid=Q27093226
CC1CCOc2cccc(Oc3ccc(N4C(=O)NC(C)(C)C4=O)cn3)c21,FEABXCREHFVJCI,AUT-00063,WuXi,CBR-HVAC-13823_B,plated and available for follow-up,https://reframedb.org//compound_data/FEABXCREHFVJCI;qid=Q137049482
NC(=O)c1cn([C@@H]2O[C@H](CO)C[C@H]2O)c2ncnc(N)c12,QRDBEFVWUAGBMC,,Pharmaron,EB2210788-071A1,plated and available for follow-up,https://reframedb.org//compound_data/QRDBEFVWUAGBMC;qid=Q82997908
CC[C@H](CN1CCCC1)C(=O)c1cc(-c2ccccc2)no1,GUASCDJSZHYNGR,MS-322; MS-301 as racemic,Pharmaron,58661-054A3,plated and available for follow-up,https://reframedb.org//compound_data/GUASCDJSZHYNGR;qid=nan
CN(/N=N/N(C)c1ccccc1)c1ccccc1,WRINSSLBPNLASA,Simtrazene,WuXi,CBR-HVAC-08885,plated and available for follow-up,https://reframedb.org//compound_data/WRINSSLBPNLASA;qid=Q27280074
CC(C)(N)Cc1ccccc1,DHHVAGZRUROJKS,Phentermine hydrochloride; Duromine,Sigma-Aldrich,SML1968-5MG,plated and available for follow-up,https://reframedb.org//compound_data/DHHVAGZRUROJKS;qid=Q82602002
NS(=O)(=O)c1cc(C(=O)NN2C[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3C2)ccc1Cl,UHLOVGKIEARANS,tripamide,WuXi,CBR-HVAC-02041,plated and available for follow-up,https://reframedb.org//compound_data/UHLOVGKIEARANS;qid=Q7843228
O=C1c2cc3nnn(CCc4cccc(F)c4)c(=O)c3cc2OCN1C1CC1,JHCFQXNWYDLBOG,tulrampator; CX-1632,MedChem Express,HY-109046,plated and available for follow-up,https://reframedb.org//compound_data/JHCFQXNWYDLBOG;qid=Q39050057
N#Cc1ccc(S(=O)(=O)Nc2cccc(C(c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)cc1,VCYQENLVFRTJIC,U 103017; PNU-103017,WuXi,CBR-HVAC-04701,plated and available for follow-up,https://reframedb.org//compound_data/VCYQENLVFRTJIC;qid=Q27466920
c1ccc2c(c1)CCN1CCNCC21,SCVCXWHEHAKJCG,Azaquinzole,"Ark Pharm, Inc",AK-38584,plated and available for follow-up,https://reframedb.org//compound_data/SCVCXWHEHAKJCG;qid=Q27289617
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,GPTONYMQFTZPKC,Sulfameter,AK Scientific,K058,plated and available for follow-up,https://reframedb.org//compound_data/GPTONYMQFTZPKC;qid=Q15410181
COc1cc(/C=C/C(=O)O)ccc1O,KSEBMYQBYZTDHS,ferulic acid; piperazine ferulate,ChemSpace,T2S0007,plated and available for follow-up,https://reframedb.org//compound_data/KSEBMYQBYZTDHS;qid=Q82694968
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,RKUNBYITZUJHSG,atropine sulfate; Hyoscyamine,Sigma-Aldrich,A0257,plated and available for follow-up,https://reframedb.org//compound_data/RKUNBYITZUJHSG;qid=Q73418929
C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,HFGZFHCWKKQGIS,SM-8668; genaconazole,Calibr Synthesis,,plated and available for follow-up,https://reframedb.org//compound_data/HFGZFHCWKKQGIS;qid=Q83027235
